iter	Passed	Remaining
577	3212	2345
578	3216	2338
579	3226	2336
580	3235	2333
581	3246	2331
582	3255	2328
583	3265	2325
584	3276	2324
585	3286	2321
586	3296	2319
587	3305	2315
588	3314	2312
589	3324	2310
590	3333	2306
591	3342	2303
592	3348	2297
593	3358	2295
594	3366	2291
595	3376	2288
596	3382	2283
597	3392	2280
598	3403	2278
599	3411	2274
600	3421	2271
601	3431	2268
602	3440	2265
603	3450	2262
604	3460	2259
605	3469	2255
606	3480	2253
607	3491	2250
608	3502	2248
609	3513	2246
610	3523	2243
611	3532	2239
612	3543	2236
613	3552	2233
614	3562	2229
615	3572	2226
616	3583	2224
617	3593	2221
618	3604	2218
619	3614	2215
620	3624	2211
621	3633	2208
622	3642	2204
623	3651	2200
624	3660	2196
625	3670	2192
626	3679	2188
627	3690	2186
628	3700	2182
629	3710	2178
630	3721	2176
631	3730	2172
632	3739	2168
633	3749	2164
634	3759	2161
635	3769	2157
636	3779	2153
637	3788	2149
638	3797	2145
639	3807	2141
640	3817	2138
641	3826	2133
642	3835	2129
643	3844	2125
644	3853	2120
645	3861	2115
646	3869	2111
647	3878	2107
648	3888	2103
649	3898	2099
650	3908	2095
651	3916	2090
652	3926	2086
653	3935	2082
654	3945	2078
655	3954	2073
656	3963	2069
657	3968	2062
658	3978	2058
659	3988	2054
660	3998	2050
661	4008	2046
662	4016	2041
663	4026	2037
664	4034	2032
665	4042	2027
666	4051	2022
667	4060	2018
668	4070	2013
669	4079	2009
670	4088	2004
671	4097	2000
672	4107	1995
673	4116	1991
674	4126	1986
675	4136	1982
676	4146	1978
677	4157	1974
678	4166	1969
679	4258	2003
680	4364	2044
681	4377	2041
682	4387	2036
683	4395	2030
684	4400	2023
685	4405	2016
686	4411	2009
687	4416	2002
688	4421	1995
689	4426	1988
690	4432	1981
691	4439	1976
692	4444	1969
693	4448	1961
694	4460	1957
695	4467	1951
696	4474	1945
697	4482	1939
698	4490	1933
699	4495	1926
700	4501	1919
701	4507	1913
702	4513	1906
703	4521	1901
704	4527	1894
705	4532	1887
706	4538	1880
707	4543	1873
708	4550	1867
709	4556	1860
710	4561	1854
711	4568	1848
712	4573	1840
713	4577	1833
714	4583	1827
715	4588	1819
716	4593	1812
717	4600	1806
718	4604	1799
719	4609	1792
720	4616	1786
721	4621	1779
722	4625	1772
723	4633	1766
724	4645	1762
725	4656	1757
726	4665	1751
727	4671	1745
728	4681	1740
729	4687	1733
730	4706	1732
731	4715	1726
732	4805	1750
733	4896	1774
734	4902	1767
735	4945	1773
736	4951	1766
737	4957	1760
738	4968	1754
739	4974	1747
740	4979	1740
741	4984	1733
742	4989	1725
743	4994	1718
744	4998	1711
745	5003	1703
746	5007	1695
747	5011	1688
748	5015	1680
749	5020	1673
750	5024	1665
751	5029	1658
752	5033	1651
753	5037	1643
754	5042	1636
755	5045	1628
756	5049	1621
757	5053	1613
758	5058	1606
759	5063	1598
760	5068	1591
761	5072	1584
762	5076	1576
763	5081	1569
764	5085	1562
765	5090	1555
766	5094	1547
767	5099	1540
768	5103	1533
769	5108	1525
770	5112	1518
771	5116	1511
772	5121	1503
773	5134	1499
774	5138	1491
775	5142	1484
776	5146	1477
777	5161	1472
778	5168	1466
779	5183	1462
780	5194	1456
781	5205	1451
782	5210	1443
783	5217	1437
784	5223	1430
785	5229	1423
786	5419	1466
787	5431	1461
788	5439	1454
789	5444	1447
790	5450	1440
791	5457	1433
792	5462	1425
793	5467	1418
794	5472	1411
795	5477	1403
796	5482	1396
797	5486	1388
798	5490	1381
799	5495	1373
800	5500	1366
801	5505	1359
802	5511	1352
803	5516	1344
804	5519	1337
805	5525	1329
806	5531	1322
807	5537	1315
808	6057	1430
809	6150	1442
810	6157	1434
811	6163	1427
812	6167	1418
813	6172	1410
814	6178	1402
815	6184	1394
816	6191	1386
817	6197	1379
818	6204	1371
819	6224	1366
820	6251	1363
821	6257	1355
822	6264	1347
823	6270	1339
824	6275	1331
825	6288	1324
826	6321	1322
827	6333	1315
828	6337	1307
829	6342	1299
830	6348	1291
831	6437	1299
832	6442	1291
833	6447	1283
834	6454	1275
835	6461	1267
836	6469	1259
837	6474	1251
838	6479	1243
839	6485	1235
840	6490	1227
841	6496	1218
842	6502	1210
843	6507	1202
844	6513	1194
845	6519	1186
846	6523	1178
847	6528	1170
848	6534	1162
849	6539	1154
850	6544	1145
851	6549	1137
852	6554	1129
853	6560	1121
854	6565	1113
855	6571	1105
856	6576	1097
857	6581	1089
858	6586	1081
859	6591	1072
860	6596	1064
861	6601	1056
862	6606	1048
863	6611	1040
864	6616	1032
865	6621	1024
866	6626	1016
867	6631	1008
868	6636	1000
869	6641	992
870	6646	984
871	6651	976
872	6656	968
873	6662	960
874	6667	952
875	6672	944
876	6677	936
877	6683	928
878	6688	920
879	6693	912
880	6698	904
881	6703	896
882	6707	888
883	6712	880
884	6716	872
885	6721	864
886	6726	856
887	6731	848
888	6735	841
889	6741	833
890	6746	825
891	6751	817
892	6755	809
893	6758	801
894	6763	793
895	6768	785
896	6773	777
897	6778	769
898	6783	762
899	6788	754
900	6793	746
901	6797	738
902	6802	730
903	6807	722
904	6812	715
905	6816	707
906	6822	699
907	6826	691
908	6831	683
909	6837	676
910	6841	668
911	6846	660
912	6851	652
913	6855	645
914	6860	637
915	6865	629
916	6870	621
917	6875	614
918	6880	606
919	6885	598
920	6889	590
921	6893	583
922	6898	575
923	6903	567
924	6908	560
925	6912	552
926	6917	544
927	6923	537
928	6929	529
929	6934	521
930	6939	514
931	6944	506
932	6949	499
933	6954	491
934	6959	483
935	6964	476
936	6969	468
937	6973	460
938	6978	453
939	6982	445
940	6986	438
941	6991	430
942	7081	428
943	7084	420
944	7088	412
945	7092	404
946	7097	397
947	7101	389
948	7105	381
949	7109	374
950	7113	366
951	7116	358
952	7120	351
953	7124	343
954	7127	335
955	7131	328
956	7134	320
957	7138	312
958	7141	305
959	7145	297
960	7147	290
961	7150	282
962	7154	274
963	7157	267
964	7159	259
965	7162	252
966	7165	244
967	7169	237
968	7172	229
969	7175	221
970	7179	214
971	7182	206
972	7186	199
973	7189	191
974	7192	184
975	7196	176
976	7199	169
977	7202	162
978	7205	154
979	7208	147
980	7212	139
981	7215	132
982	7219	124
983	7222	117
984	7225	110
985	7229	102
986	7232	95
987	7235	87
988	7238	80
989	7242	73
990	7245	65
991	7249	58
992	7251	51
993	7253	43
994	7256	36
995	7260	29
996	7263	21
997	7267	14
998	7270	7
999	7274	0
